 Libcell,Min_delay,Avg_delay,Max_delay
 NOR2_X1N_A9PP84TL_C14 ,0.019,0.019,0.019
 NAND4_X4N_A9PP84TSL_C14 ,0.012,0.014132137030995117,0.022
 AO21A1AI2_X4N_A9PP84TR_C16 ,0.023,0.023,0.023
 NAND2_X1F_A9PP84TSL_C14 ,0.010,0.013285714285714286,0.018
 INV_X7N_A9PP84TR_C14 ,0.005,0.0065,0.011
 INV_X2F_A9PP84TSL_C16 ,0.007,0.007,0.007
 NOR2_X4R_A9PP84TSL_C14 ,0.006,0.006999999999999999,0.008
 NAND4XXXB_X1N_A9PP84TR_C16 ,0.046,0.04675,0.048
 PREICG_X7N_A9PP84TL_C14 ,0.017,0.04007462686567161,0.053
 INV_X7N_A9PP84TL_C14 ,0.005,0.006333333333333333,0.007
 NOR2_X1N_A9PP84TL_C16 ,0.051,0.0535,0.056
 INV_X6R_A9PP84TR_C14 ,0.017,0.017,0.017
 OAI21_X1N_A9PP84TL_C14 ,0.019,0.019,0.019
 PREICG_X6R_A9PP84TL_C14 ,0.026,0.05368181818181816,0.057
 MXT2_X3N_A9PP84TR_C14 ,0.020,0.025,0.030
 INV_X7N_A9PP84TR_C16 ,0.006,0.03654545454545454,0.043
 OAI21_X1N_A9PP84TR_C16 ,0.025,0.028333333333333335,0.033
 AOI22_X2F_A9PP84TR_C14 ,0.016,0.0184,0.022
 INV_X6R_A9PP84TL_C14 ,0.007,0.007,0.007
 SDFFRPQ_X2N_A9PP84TSL_C14 ,0.020,0.020000000000000007,0.020
 PREICG_X7N_A9PP84TL_C16 ,0.022,0.040400000000000005,0.042
 INV_X7N_A9PP84TL_C16 ,0.007,0.007,0.007
 NOR2_X2N_A9PP84TSL_C14 ,0.006,0.008754385964912285,0.014
 AO1B2_X2N_A9PP84TL_C14 ,0.023,0.023000000000000003,0.023
 INV_X6R_A9PP84TR_C16 ,0.005,0.008,0.011
 BUF_X14N_A9PP84TR_C14 ,0.012,0.012,0.012
